asset,donchian_len,atr_mult,sma_len,final_eq,n_trades,n_long,n_short,win_rate,max_dd,sharpe
SOL,20,2.0,150,869.5,94,42,52,30.85,32.3847,-0.0292
SOL,10,2.0,250,857.68,106,50,56,31.13,28.163,-0.0299
SOL,20,3.0,250,856.58,61,26,35,36.07,28.502,-0.0513
SOL,30,3.0,50,854.3,76,38,38,31.58,38.1565,-0.0363
SOL,20,2.5,300,843.76,72,31,41,27.78,28.2413,-0.0535
SOL,30,2.5,150,843.48,72,33,39,26.39,37.069,-0.0534
SOL,10,2.5,300,839.72,85,37,48,29.41,27.502,-0.0441
SOL,20,2.0,200,835.98,94,42,52,31.91,33.1608,-0.0428
SOL,20,3.0,150,833.49,68,30,38,33.82,35.8055,-0.053
SOL,10,2.0,150,828.72,115,53,62,30.43,34.7789,-0.0358
SOL,30,3.0,250,823.89,57,25,32,31.58,27.503,-0.0772
SOL,20,2.5,250,823.25,74,33,41,29.73,27.712,-0.0614
SOL,10,3.0,300,820.29,70,30,40,34.29,27.012,-0.0629
SOL,30,3.0,100,809.67,67,31,36,31.34,35.6489,-0.0709
SOL,10,2.5,50,808.46,112,55,57,25.89,47.289,-0.0363
SOL,30,2.5,100,800.93,78,37,41,29.49,37.2475,-0.0705
SOL,30,3.0,150,799.96,63,29,34,28.57,35.3926,-0.0767
SOL,20,2.5,50,798.87,103,52,51,26.21,44.1052,-0.0445
SOL,20,2.5,150,795.76,82,37,45,26.83,36.1843,-0.0665
SOL,10,2.5,150,791.77,95,43,52,30.53,36.49,-0.0563
SOL,30,2.5,200,789.18,71,33,38,28.17,37.316,-0.0831
SOL,20,3.0,200,783.47,67,29,38,32.84,37.9084,-0.0794
SOL,20,3.0,50,775.97,87,43,44,32.18,46.437,-0.0579
SOL,30,3.0,200,775.76,61,28,33,29.51,36.83,-0.0944
SOL,20,2.0,100,764.63,105,49,56,29.52,35.4798,-0.0662
SOL,20,3.0,100,763.16,74,34,40,32.43,37.9304,-0.0852
SOL,20,2.0,50,760.29,124,61,63,28.23,46.2543,-0.0484
SOL,10,3.0,150,753.94,79,36,43,36.71,39.234,-0.078
SOL,20,2.5,200,747.91,81,36,45,27.16,37.3877,-0.0909
SOL,10,2.5,250,747.02,90,41,49,30.0,30.5918,-0.0794
SOL,10,2.0,200,746.94,114,54,60,29.82,34.5288,-0.0653
SOL,20,2.5,100,746.81,88,42,46,28.41,35.7779,-0.0868
SOL,10,3.0,250,731.36,74,34,40,33.78,30.53,-0.1003
SOL,10,3.0,200,729.78,77,35,42,35.06,38.1799,-0.0938
SOL,10,2.0,50,721.95,141,68,73,26.95,50.594,-0.0529
SOL,10,3.0,50,706.89,93,46,47,30.11,50.1826,-0.0803
SOL,10,3.0,100,704.98,82,38,44,35.37,36.9686,-0.1037
