donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe_proxy
20,20,2.5,714146da31e0afc82ac1606ae27920d6,744.79,23,34.78,-0.3876,40.2726,-0.0271
5,14,2.0,714146da31e0afc82ac1606ae27920d6,743.91,45,40.0,0.2645,59.1956,0.0178
30,7,2.5,714146da31e0afc82ac1606ae27920d6,742.61,19,31.58,-0.9432,34.2096,-0.0811
8,7,2.5,714146da31e0afc82ac1606ae27920d6,741.59,32,25.0,0.1126,55.2436,0.0072
5,14,2.5,714146da31e0afc82ac1606ae27920d6,740.67,36,36.11,0.409,63.1179,0.0238
12,30,4.0,714146da31e0afc82ac1606ae27920d6,740.35,15,33.33,1.3429,66.4826,0.0478
8,7,4.0,714146da31e0afc82ac1606ae27920d6,739.93,18,27.78,1.7644,69.9661,0.0569
12,25,4.0,714146da31e0afc82ac1606ae27920d6,736.8,15,33.33,1.1982,66.0943,0.0435
15,14,2.5,714146da31e0afc82ac1606ae27920d6,735.36,26,26.92,0.0243,54.2083,0.0014
8,10,2.0,714146da31e0afc82ac1606ae27920d6,731.96,39,33.33,0.0001,56.768,0.0
12,10,4.0,714146da31e0afc82ac1606ae27920d6,727.28,16,31.25,1.9428,68.3077,0.0584
10,14,3.5,714146da31e0afc82ac1606ae27920d6,725.16,19,31.58,0.8075,68.4256,0.033
8,14,2.0,714146da31e0afc82ac1606ae27920d6,724.12,39,30.77,0.0102,59.0141,0.0007
30,20,2.5,714146da31e0afc82ac1606ae27920d6,719.53,20,40.0,-1.0943,35.0667,-0.101
15,25,3.0,714146da31e0afc82ac1606ae27920d6,715.7,23,34.78,-0.1354,48.9991,-0.0078
15,30,2.5,714146da31e0afc82ac1606ae27920d6,713.28,28,35.71,-0.2321,48.5281,-0.0155
12,20,4.0,714146da31e0afc82ac1606ae27920d6,709.56,15,26.67,2.709,69.6429,0.0719
8,10,2.5,714146da31e0afc82ac1606ae27920d6,708.06,32,25.0,0.0049,58.386,0.0003
15,20,3.0,714146da31e0afc82ac1606ae27920d6,700.0,23,30.43,-0.2529,48.6667,-0.0147
10,20,3.5,714146da31e0afc82ac1606ae27920d6,697.8,19,31.58,0.7918,70.7255,0.0312
15,25,2.5,714146da31e0afc82ac1606ae27920d6,696.29,28,32.14,-0.325,48.5456,-0.0218
20,30,2.5,714146da31e0afc82ac1606ae27920d6,695.07,24,37.5,-0.7084,43.2267,-0.0525
8,14,2.5,714146da31e0afc82ac1606ae27920d6,680.92,32,28.12,-0.0765,61.1087,-0.0047
20,25,2.5,714146da31e0afc82ac1606ae27920d6,677.71,24,33.33,-0.8219,43.3793,-0.0614
5,10,3.0,714146da31e0afc82ac1606ae27920d6,674.68,29,31.03,0.302,60.9654,0.0153
5,20,2.5,714146da31e0afc82ac1606ae27920d6,672.27,37,37.84,0.0638,65.6251,0.0039
30,30,2.5,714146da31e0afc82ac1606ae27920d6,670.53,21,42.86,-1.3716,39.0632,-0.1294
10,7,2.5,714146da31e0afc82ac1606ae27920d6,667.43,30,26.67,-0.2462,53.5194,-0.0154
5,7,3.5,714146da31e0afc82ac1606ae27920d6,665.65,24,20.83,1.653,70.3272,0.0538
30,14,3.0,714146da31e0afc82ac1606ae27920d6,663.31,17,35.29,-1.7417,38.4183,-0.147
10,7,4.0,714146da31e0afc82ac1606ae27920d6,656.05,17,29.41,1.1814,70.2894,0.0371
30,25,2.5,714146da31e0afc82ac1606ae27920d6,654.98,21,38.1,-1.4925,39.1158,-0.1424
8,10,4.0,714146da31e0afc82ac1606ae27920d6,650.21,18,27.78,1.2336,73.5273,0.0387
12,7,2.5,714146da31e0afc82ac1606ae27920d6,649.99,28,25.0,-0.4029,56.7206,-0.0247
8,30,4.0,714146da31e0afc82ac1606ae27920d6,638.39,18,33.33,0.6744,71.651,0.0246
5,10,3.5,714146da31e0afc82ac1606ae27920d6,636.53,23,21.74,1.6144,71.5202,0.0506
10,10,2.5,714146da31e0afc82ac1606ae27920d6,634.4,30,26.67,-0.3712,56.9756,-0.0228
8,25,4.0,714146da31e0afc82ac1606ae27920d6,631.66,18,33.33,0.5245,71.353,0.0195
8,14,4.0,714146da31e0afc82ac1606ae27920d6,627.02,18,27.78,1.4039,72.6847,0.0419
8,30,3.0,714146da31e0afc82ac1606ae27920d6,621.29,27,33.33,-0.3891,59.4134,-0.022
10,10,3.0,714146da31e0afc82ac1606ae27920d6,619.02,24,29.17,-0.4281,59.201,-0.0225
12,10,2.5,714146da31e0afc82ac1606ae27920d6,616.6,28,25.0,-0.5372,59.8853,-0.0323
12,30,3.5,714146da31e0afc82ac1606ae27920d6,610.63,20,35.0,-0.1899,67.5854,-0.0082
10,14,2.5,714146da31e0afc82ac1606ae27920d6,609.73,30,30.0,-0.457,59.8153,-0.0276
12,20,2.5,714146da31e0afc82ac1606ae27920d6,606.63,29,34.48,-0.6006,58.547,-0.0374
12,25,3.5,714146da31e0afc82ac1606ae27920d6,602.52,20,35.0,-0.3061,67.3008,-0.0134
5,30,2.5,714146da31e0afc82ac1606ae27920d6,600.19,38,34.21,-0.2737,66.7087,-0.0173
8,14,3.0,714146da31e0afc82ac1606ae27920d6,597.62,27,29.63,-0.6385,60.6186,-0.0377
12,30,3.0,714146da31e0afc82ac1606ae27920d6,597.41,24,37.5,-0.6602,56.7193,-0.0362
8,20,2.5,714146da31e0afc82ac1606ae27920d6,597.03,33,30.3,-0.5377,63.4811,-0.0349
5,25,2.5,714146da31e0afc82ac1606ae27920d6,591.41,38,34.21,-0.3238,66.3186,-0.0206
12,14,3.0,714146da31e0afc82ac1606ae27920d6,591.38,24,33.33,-0.8409,58.3351,-0.0483
12,14,2.5,714146da31e0afc82ac1606ae27920d6,590.78,28,28.57,-0.6344,62.4926,-0.0374
8,20,4.0,714146da31e0afc82ac1606ae27920d6,589.5,18,27.78,1.3521,75.004,0.0388
10,10,4.0,714146da31e0afc82ac1606ae27920d6,574.88,17,29.41,0.6241,73.8852,0.019
8,30,2.5,714146da31e0afc82ac1606ae27920d6,563.79,34,29.41,-0.7241,64.7034,-0.0489
10,30,4.0,714146da31e0afc82ac1606ae27920d6,557.06,17,35.29,-0.318,72.3999,-0.0118
