donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe
10,20,3.5,4c259467e927290e346f667b39a665db,743.1,56,30.36,-0.5015,30.7331,-0.2117
20,7,1.0,4c259467e927290e346f667b39a665db,742.68,100,26.0,-0.2894,28.0427,-0.2315
8,10,3.0,4c259467e927290e346f667b39a665db,742.43,70,30.0,-0.4061,28.8026,-0.209
20,14,3.5,4c259467e927290e346f667b39a665db,742.34,45,28.89,-0.6392,27.4719,-0.3096
20,20,1.0,4c259467e927290e346f667b39a665db,742.19,100,29.0,-0.2909,27.4895,-0.2467
25,25,2.5,4c259467e927290e346f667b39a665db,740.7,48,25.0,-0.6071,27.4627,-0.3319
15,7,3.5,4c259467e927290e346f667b39a665db,740.3,51,21.57,-0.5654,32.2344,-0.2623
20,30,2.0,4c259467e927290e346f667b39a665db,740.23,65,29.23,-0.4483,30.2132,-0.2706
15,20,2.0,4c259467e927290e346f667b39a665db,739.12,77,25.97,-0.3772,31.024,-0.2177
15,7,4.0,4c259467e927290e346f667b39a665db,738.47,46,26.09,-0.6328,29.9344,-0.284
15,7,2.0,4c259467e927290e346f667b39a665db,738.24,78,24.36,-0.374,32.4359,-0.2177
25,10,3.0,4c259467e927290e346f667b39a665db,737.64,42,23.81,-0.7053,27.0826,-0.3819
8,30,2.0,4c259467e927290e346f667b39a665db,737.34,96,30.21,-0.3013,30.4685,-0.1681
8,20,2.5,4c259467e927290e346f667b39a665db,737.28,80,26.25,-0.3615,30.1889,-0.1837
15,14,2.0,4c259467e927290e346f667b39a665db,737.06,78,23.08,-0.3763,32.2604,-0.2214
8,14,3.5,4c259467e927290e346f667b39a665db,736.47,59,32.2,-0.4914,29.9067,-0.2137
20,7,4.0,4c259467e927290e346f667b39a665db,736.26,41,26.83,-0.7223,28.5614,-0.341
12,14,4.0,4c259467e927290e346f667b39a665db,735.42,48,27.08,-0.6127,30.3057,-0.2676
15,20,3.5,4c259467e927290e346f667b39a665db,734.2,50,26.0,-0.5915,30.2129,-0.2629
8,25,2.0,4c259467e927290e346f667b39a665db,733.79,99,29.29,-0.2974,28.7809,-0.1707
10,10,3.0,4c259467e927290e346f667b39a665db,733.6,66,28.79,-0.4487,31.1535,-0.2237
15,25,2.0,4c259467e927290e346f667b39a665db,733.54,76,27.63,-0.3928,32.2249,-0.2304
25,25,3.5,4c259467e927290e346f667b39a665db,733.15,38,23.68,-0.7961,26.9975,-0.4199
15,20,1.0,4c259467e927290e346f667b39a665db,732.36,117,29.06,-0.2592,27.7702,-0.2221
15,14,1.5,4c259467e927290e346f667b39a665db,731.7,95,24.21,-0.3183,30.8714,-0.2219
12,14,2.5,4c259467e927290e346f667b39a665db,730.22,69,27.54,-0.4353,31.0771,-0.2184
20,30,3.5,4c259467e927290e346f667b39a665db,729.76,44,34.09,-0.6936,29.8402,-0.3435
15,7,1.0,4c259467e927290e346f667b39a665db,729.22,118,25.42,-0.26,28.676,-0.2134
20,25,1.0,4c259467e927290e346f667b39a665db,728.81,100,26.0,-0.309,29.4086,-0.2613
8,20,2.0,4c259467e927290e346f667b39a665db,728.65,101,28.71,-0.2979,29.8079,-0.1695
10,30,3.5,4c259467e927290e346f667b39a665db,728.61,55,34.55,-0.5483,29.9488,-0.2387
15,10,1.0,4c259467e927290e346f667b39a665db,727.92,118,26.27,-0.2623,28.8065,-0.2284
20,20,2.0,4c259467e927290e346f667b39a665db,727.26,68,26.47,-0.454,30.7563,-0.2753
20,10,3.0,4c259467e927290e346f667b39a665db,725.83,52,25.0,-0.5987,29.6881,-0.3339
15,10,1.5,4c259467e927290e346f667b39a665db,725.75,95,24.21,-0.3269,30.9001,-0.2286
8,7,3.0,4c259467e927290e346f667b39a665db,725.62,74,27.03,-0.4153,30.9098,-0.2215
20,7,1.5,4c259467e927290e346f667b39a665db,724.99,81,23.46,-0.3854,31.5459,-0.2586
15,14,1.0,4c259467e927290e346f667b39a665db,724.89,119,26.89,-0.2635,29.1319,-0.2284
25,7,2.5,4c259467e927290e346f667b39a665db,724.41,49,24.49,-0.64,28.8056,-0.3555
10,20,2.0,4c259467e927290e346f667b39a665db,723.59,93,29.03,-0.3312,32.4422,-0.182
20,10,4.0,4c259467e927290e346f667b39a665db,722.87,41,26.83,-0.7664,29.783,-0.3597
10,20,2.5,4c259467e927290e346f667b39a665db,722.83,75,26.67,-0.4116,32.9487,-0.2016
8,7,3.5,4c259467e927290e346f667b39a665db,721.98,63,26.98,-0.4929,34.3319,-0.2274
8,10,2.5,4c259467e927290e346f667b39a665db,721.31,85,27.06,-0.3664,30.0663,-0.1948
12,20,3.5,4c259467e927290e346f667b39a665db,720.71,54,31.48,-0.5788,32.3934,-0.2512
12,30,3.0,4c259467e927290e346f667b39a665db,720.46,59,25.42,-0.5316,31.8212,-0.2468
10,25,2.0,4c259467e927290e346f667b39a665db,720.23,92,29.35,-0.3403,32.4678,-0.1891
20,7,3.5,4c259467e927290e346f667b39a665db,720.2,46,23.91,-0.69,30.7187,-0.3309
10,30,3.0,4c259467e927290e346f667b39a665db,719.71,63,26.98,-0.4975,32.6169,-0.2277
20,14,1.5,4c259467e927290e346f667b39a665db,719.26,83,22.89,-0.3856,32.3592,-0.2606
10,25,4.0,4c259467e927290e346f667b39a665db,719.2,49,30.61,-0.6395,30.5025,-0.2538
15,25,1.0,4c259467e927290e346f667b39a665db,719.11,117,26.5,-0.2747,29.6878,-0.2346
15,10,2.5,4c259467e927290e346f667b39a665db,718.81,66,27.27,-0.4817,30.1848,-0.2555
15,30,3.5,4c259467e927290e346f667b39a665db,717.98,49,32.65,-0.6507,31.1099,-0.2986
20,20,2.5,4c259467e927290e346f667b39a665db,717.64,57,24.56,-0.5626,31.2296,-0.2941
20,14,2.0,4c259467e927290e346f667b39a665db,717.5,69,23.19,-0.4672,31.6738,-0.2881
8,20,3.5,4c259467e927290e346f667b39a665db,717.43,59,32.2,-0.5347,31.2054,-0.2291
15,10,4.0,4c259467e927290e346f667b39a665db,717.3,46,26.09,-0.6949,31.5538,-0.3075
8,30,3.0,4c259467e927290e346f667b39a665db,716.37,67,28.36,-0.475,31.8976,-0.2255
15,30,4.0,4c259467e927290e346f667b39a665db,715.28,44,27.27,-0.7306,30.9202,-0.3038
20,14,2.5,4c259467e927290e346f667b39a665db,715.13,58,25.86,-0.5597,31.4576,-0.3014
20,30,1.0,4c259467e927290e346f667b39a665db,714.83,100,26.0,-0.3283,31.4395,-0.2779
